[03/Dec/2017:14:27:24], PMC\Theme_Unit_Test\XML_RPC\Client: Missing credentials.
[03/Dec/2017:14:27:24], _call_posts_route Failed transport error: http_request_failed A valid URL was not provided.
[03/Dec/2017:14:27:25], _call_posts_route Failed transport error: http_request_failed A valid URL was not provided.
[03/Dec/2017:14:27:30], _call_posts_route Failed transport error: http_request_failed A valid URL was not provided.
[03/Dec/2017:14:32:07], PMC\Theme_Unit_Test\XML_RPC\Client: Missing credentials.
[03/Dec/2017:14:32:07], _call_posts_route Failed transport error: http_request_failed A valid URL was not provided.
[03/Dec/2017:14:32:07], PMC\Theme_Unit_Test\XML_RPC\Client: Missing credentials.
[03/Dec/2017:14:32:07], _call_posts_route Failed transport error: http_request_failed A valid URL was not provided.
[03/Dec/2017:14:32:12], PMC\Theme_Unit_Test\XML_RPC\Client: Missing credentials.
[03/Dec/2017:14:32:12], _call_posts_route Failed transport error: http_request_failed A valid URL was not provided.
[03/Dec/2017:14:33:34], PMC\Theme_Unit_Test\XML_RPC\Client: Missing credentials.
[03/Dec/2017:14:33:34], _call_posts_route Failed transport error: http_request_failed A valid URL was not provided.
